z_center_m,count_parcels,count_droplets,Umean_m_s,D10_m,D32_m
2.500000000000000052e-03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan
7.499999999999999722e-03,8.000000000000000000e+00,2.977028293939999681e+00,nan,nan,nan
1.250000000000000069e-02,1.040000000000000000e+02,7.600072278312679828e+02,2.333691709273992743e+01,1.782079569261694381e-05,9.511322359465636245e-05
1.750000000000000167e-02,3.470000000000000000e+02,1.734465281851200018e+02,1.159824329848513180e+01,8.814344253700744547e-05,1.944769706562199645e-04
2.249999999999999917e-02,1.835000000000000000e+03,8.546013924171461440e+02,4.997248346914267891e+00,7.384123844125777285e-05,2.273638239273748790e-04
2.750000000000000014e-02,1.176000000000000000e+03,4.070573637006210106e+02,4.216579625181239521e+00,1.170831243272675196e-04,2.349380128360617687e-04
3.250000000000000111e-02,3.620000000000000000e+02,1.954385499899119907e+02,3.872165066548765466e+00,1.352037173162795353e-04,2.389560371705560962e-04
3.750000000000000555e-02,2.090000000000000000e+02,9.373103848855001274e+01,4.797257632198642874e+00,1.581411455037625650e-04,2.421220258132227585e-04
4.249999999999999611e-02,1.780000000000000000e+02,7.364815795869999704e+01,4.793984273650548467e+00,1.740456319004361427e-04,2.338427253428387723e-04
4.750000000000000056e-02,1.070000000000000000e+02,4.185060400900999866e+01,4.976283291804604048e+00,1.783612920421692922e-04,2.383407357105532412e-04
5.250000000000000500e-02,7.000000000000000000e+01,2.672989447872999946e+01,5.019690405382230658e+00,1.807872566115332265e-04,2.389492834993834931e-04
5.749999999999999556e-02,6.000000000000000000e+01,1.135339975135000046e+01,5.708270796436607952e+00,2.340227369682206784e-04,2.947552362529287933e-04
6.250000000000000000e-02,3.700000000000000000e+01,7.159340748800000043e+00,5.583672344211517036e+00,2.395527035010341465e-04,2.841060392454657709e-04
