z_center_m,z_center_mm,count_parcels,count_droplets,Umean_m_s,D10_m,D10_um,D32_m,D32_um
2.500000000000000052e-03,2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan
7.499999999999999722e-03,7.500000000000000000e+00,9.000000000000000000e+00,4.392333563087900128e-01,nan,nan,nan,nan,nan
1.250000000000000069e-02,1.250000000000000000e+01,8.000000000000000000e+01,2.743931428767000247e-01,nan,nan,nan,nan,nan
1.750000000000000167e-02,1.750000000000000000e+01,7.830000000000000000e+02,3.001908668363399535e+00,nan,nan,nan,nan,nan
2.249999999999999917e-02,2.250000000000000000e+01,3.205000000000000000e+03,9.766188606226691604e+00,nan,nan,nan,nan,nan
2.750000000000000014e-02,2.750000000000000000e+01,5.111000000000000000e+03,1.924307343825491046e+01,7.063863385222371782e+00,2.141204120731219523e-04,2.141204120731219405e+02,3.023136401153370557e-04,3.023136401153370798e+02
3.250000000000000111e-02,3.250000000000000000e+01,5.499000000000000000e+03,2.426275236124340040e+01,6.119306676459540739e+00,2.402320406341530246e-04,2.402320406341530372e+02,3.287470493322386541e-04,3.287470493322386460e+02
3.750000000000000555e-02,3.750000000000000711e+01,4.923000000000000000e+03,2.712092381809609520e+01,5.360566073904760032e+00,2.523327782380081308e-04,2.523327782380081317e+02,3.357471290605317481e-04,3.357471290605317336e+02
4.249999999999999611e-02,4.249999999999999289e+01,4.251000000000000000e+03,2.870135452086254446e+01,5.134526970243853405e+00,2.659600395645892162e-04,2.659600395645892377e+02,3.535637913941892655e-04,3.535637913941892521e+02
4.750000000000000056e-02,4.750000000000000000e+01,3.542000000000000000e+03,2.644665059078068836e+01,5.013957516045602247e+00,2.820546729884175507e-04,2.820546729884175647e+02,3.638701409993409710e-04,3.638701409993409470e+02
5.250000000000000500e-02,5.250000000000000711e+01,2.768000000000000000e+03,2.332624494914612612e+01,4.934409971194702038e+00,2.928412466392465259e-04,2.928412466392465490e+02,3.747812194583342383e-04,3.747812194583342489e+02
5.749999999999999556e-02,5.749999999999999289e+01,2.364000000000000000e+03,2.127944881420683032e+01,5.014578571309616706e+00,3.110463732072686811e-04,3.110463732072686867e+02,3.881526159610036719e-04,3.881526159610036757e+02
6.250000000000000000e-02,6.250000000000000000e+01,1.689000000000000000e+03,1.484676962782859277e+01,4.999476709899393079e+00,3.277412321090417764e-04,3.277412321090417890e+02,4.019498906905576282e-04,4.019498906905576519e+02
