z_center_m,z_center_mm,count_parcels,count_droplets,Umean_m_s,D10_m,D10_um,D32_m,D32_um
2.500000000000000052e-03,2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan
7.499999999999999722e-03,7.500000000000000000e+00,4.000000000000000000e+01,2.979691571104999825e-01,nan,nan,nan,nan,nan
1.250000000000000069e-02,1.250000000000000000e+01,4.630000000000000000e+02,2.205497928503239891e+00,nan,nan,nan,nan,nan
1.750000000000000167e-02,1.750000000000000000e+01,1.049400000000000000e+04,3.237711368633904385e+01,1.194106948320665751e+01,1.407856267000290177e-04,1.407856267000290131e+02,2.494250516768668378e-04,2.494250516768668433e+02
2.249999999999999917e-02,2.250000000000000000e+01,5.575900000000000000e+04,1.343138742294104588e+02,1.051414866065155529e+01,1.729383255009801497e-04,1.729383255009801417e+02,2.694187120702325319e-04,2.694187120702325160e+02
2.750000000000000014e-02,2.750000000000000000e+01,8.680000000000000000e+04,2.282175892073426553e+02,8.798642293146306415e+00,1.876408406883344165e-04,1.876408406883344071e+02,2.825884339751100378e-04,2.825884339751100356e+02
3.250000000000000111e-02,3.250000000000000000e+01,9.782200000000000000e+04,4.021111149442738792e+02,7.666729284324158122e+00,2.130130769633210668e-04,2.130130769633210548e+02,3.072130855130395487e-04,3.072130855130395730e+02
3.750000000000000555e-02,3.750000000000000711e+01,8.648500000000000000e+04,4.324226840336767168e+02,7.226761629274248477e+00,2.314565987179589195e-04,2.314565987179589115e+02,3.253795584544157300e-04,3.253795584544157578e+02
4.249999999999999611e-02,4.249999999999999289e+01,5.714400000000000000e+04,3.046337637163046566e+02,7.017005495134833737e+00,2.393578375350095724e-04,2.393578375350095655e+02,3.293175986856048667e-04,3.293175986856048780e+02
4.750000000000000056e-02,4.750000000000000000e+01,3.259300000000000000e+04,1.849658267649583081e+02,6.867638156894736667e+00,2.456750120500499177e-04,2.456750120500499293e+02,3.331751215866191984e-04,3.331751215866191842e+02
5.250000000000000500e-02,5.250000000000000711e+01,1.982500000000000000e+04,1.368978703037904552e+02,6.754288546589629405e+00,2.480913131699702423e-04,2.480913131699702490e+02,3.325361352536243564e-04,3.325361352536243658e+02
5.749999999999999556e-02,5.749999999999999289e+01,1.412600000000000000e+04,1.299673894333375870e+02,6.688136327245688406e+00,2.524253892120359964e-04,2.524253892120360092e+02,3.381460506501788189e-04,3.381460506501788359e+02
6.250000000000000000e-02,6.250000000000000000e+01,1.244300000000000000e+04,1.498196908228638904e+02,6.560509801834218280e+00,2.539692473042522115e-04,2.539692473042522067e+02,3.364793256241399447e-04,3.364793256241399604e+02
