z_center_m,z_center_mm,count_parcels,count_droplets,Umean_m_s,D10_m,D10_um,D32_m,D32_um
2.500000000000000052e-03,2.500000000000000000e+00,1.000000000000000000e+00,5.849672585000000036e-03,nan,nan,nan,nan,nan
7.499999999999999722e-03,7.500000000000000000e+00,2.600000000000000000e+01,1.280519916643000078e-01,nan,nan,nan,nan,nan
1.250000000000000069e-02,1.250000000000000000e+01,1.910000000000000000e+02,6.562136462683599847e-01,nan,nan,nan,nan,nan
1.750000000000000167e-02,1.750000000000000000e+01,9.920000000000000000e+02,2.754840684259139749e+00,nan,nan,nan,nan,nan
2.249999999999999917e-02,2.250000000000000000e+01,6.426000000000000000e+03,1.540950883365862722e+01,9.194765083237673053e+00,1.680725844069638341e-04,1.680725844069638413e+02,2.715461810163799505e-04,2.715461810163799328e+02
2.750000000000000014e-02,2.750000000000000000e+01,1.437400000000000000e+04,3.120249404005026506e+01,7.599300517351291973e+00,1.930863287130840970e-04,1.930863287130841002e+02,2.835156453551584987e-04,2.835156453551584832e+02
3.250000000000000111e-02,3.250000000000000000e+01,1.880600000000000000e+04,4.905298707641853895e+01,6.276118257631686959e+00,2.144061915227841433e-04,2.144061915227841553e+02,3.025389319750068618e-04,3.025389319750068466e+02
3.750000000000000555e-02,3.750000000000000711e+01,2.009800000000000000e+04,7.464436196378792943e+01,5.665023075387993323e+00,2.373519314708307903e-04,2.373519314708307775e+02,3.267655187744738111e-04,3.267655187744738328e+02
4.249999999999999611e-02,4.249999999999999289e+01,1.814600000000000000e+04,8.361737269556249430e+01,5.423984629891072551e+00,2.511122533188949986e-04,2.511122533188950001e+02,3.344124114274973458e-04,3.344124114274973181e+02
4.750000000000000056e-02,4.750000000000000000e+01,1.562200000000000000e+04,8.203280066359145906e+01,5.324959774995124739e+00,2.670516482760936427e-04,2.670516482760936583e+02,3.537986621372861385e-04,3.537986621372861578e+02
5.250000000000000500e-02,5.250000000000000711e+01,1.369500000000000000e+04,8.354411199839523761e+01,5.202479719878800424e+00,2.804011801391159187e-04,2.804011801391159224e+02,3.615367552167603605e-04,3.615367552167603549e+02
5.749999999999999556e-02,5.749999999999999289e+01,1.142300000000000000e+04,7.917577962647375500e+01,5.116160414088104957e+00,2.933543136040012308e-04,2.933543136040012200e+02,3.751049801325126052e-04,3.751049801325125941e+02
6.250000000000000000e-02,6.250000000000000000e+01,8.693000000000000000e+03,6.002004106157334462e+01,5.171628419495750251e+00,3.127626946018050675e-04,3.127626946018050944e+02,3.951803061443853087e-04,3.951803061443853267e+02
