z_center_m,count_parcels,count_droplets,Umean_m_s,D10_m,D32_m
2.500000000000000052e-03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan
7.499999999999999722e-03,3.500000000000000000e+01,1.445506167519597284e+03,3.392842211887283810e+01,9.128303806260975890e-06,5.070519592969258523e-05
1.250000000000000069e-02,5.645000000000000000e+03,4.198720587649315712e+04,2.478651640060290973e+01,7.193228472562794903e-06,1.150469558883751770e-04
1.750000000000000167e-02,9.522000000000000000e+03,1.163483416806913883e+05,1.247715513377544561e+01,8.629186821878105347e-06,1.393490961095848464e-04
2.249999999999999917e-02,6.207000000000000000e+03,3.647575174404044083e+04,6.425399040715498167e+00,1.164324298085367223e-05,1.953998122462068348e-04
2.750000000000000014e-02,2.323000000000000000e+03,1.687430059768689034e+03,5.187943224372346229e+00,1.269149696181763294e-04,1.999079363082762004e-04
3.250000000000000111e-02,1.542000000000000000e+03,1.361200404845795902e+03,4.632871918231614039e+00,1.318167780525814146e-04,2.029572953560522259e-04
3.750000000000000555e-02,1.637000000000000000e+03,7.392865662519768193e+03,2.748156818568083359e+00,3.083466806116993156e-05,1.991329105225372810e-04
4.249999999999999611e-02,2.144000000000000000e+03,1.881114384410885123e+03,4.436280114460523727e+00,1.376537007639161653e-04,2.046739821341821922e-04
4.750000000000000056e-02,1.650000000000000000e+03,1.223358155987109058e+03,4.515296562974753236e+00,1.479749197534074585e-04,2.129826314748646011e-04
5.250000000000000500e-02,2.160000000000000000e+02,1.273659153396099981e+02,4.328600126463392428e+00,1.611713655634697327e-04,2.247459141259530377e-04
5.749999999999999556e-02,1.200000000000000000e+01,3.594532599529999928e+00,nan,nan,nan
6.250000000000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan
