z_center_m,count_parcels,count_droplets,Umean_m_s,D10_m,D32_m
2.500000000000000052e-03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan
7.499999999999999722e-03,2.400000000000000000e+01,1.356471645276999993e+01,nan,nan,nan
1.250000000000000069e-02,2.580000000000000000e+02,4.619740530920530000e+04,1.713007152423794111e+01,6.007300820917487529e-06,8.301489398996487600e-05
1.750000000000000167e-02,1.889000000000000000e+03,2.369813740707011220e+02,1.064062662969153550e+01,1.695870811398389488e-04,2.562148247666838738e-04
2.249999999999999917e-02,1.110000000000000000e+03,1.238563191560883070e+03,3.340146712858527156e+00,6.356270805465953991e-05,2.095292183931602922e-04
2.750000000000000014e-02,6.050000000000000000e+02,6.285201135350080222e+02,4.006754998714267657e+00,1.040884072784625255e-04,2.091848698880674571e-04
3.250000000000000111e-02,4.280000000000000000e+02,2.444663871992079862e+02,4.868129941556379237e+00,1.456844790676671108e-04,2.253729033326685918e-04
3.750000000000000555e-02,3.080000000000000000e+02,2.732783941818799462e+02,3.328565114681751869e+00,1.201482722860126005e-04,2.055291023025287024e-04
4.249999999999999611e-02,2.130000000000000000e+02,9.885569348767999998e+01,4.720089691027103740e+00,1.630000246079577931e-04,2.336962220002733958e-04
4.750000000000000056e-02,1.740000000000000000e+02,6.783685820145998946e+01,4.554362455863152803e+00,1.738802551551941555e-04,2.440262378002035714e-04
5.250000000000000500e-02,1.110000000000000000e+02,3.901752685278000143e+01,4.440179957228385099e+00,1.821740130019929363e-04,2.482763259894907380e-04
5.749999999999999556e-02,7.700000000000000000e+01,1.613527486787999621e+01,4.923287998686803668e+00,2.200539998874205300e-04,2.908442840972753365e-04
6.250000000000000000e-02,5.100000000000000000e+01,7.779262940970999907e+00,5.079299259325082971e+00,2.515268389630405496e-04,3.150716297086732188e-04
